,country,name,full_name,symbol,currency,class,market
989,world,MSCI ACWI Health Care,MSCI ACWI Health Care,MIWD0HC00PUS,USD,primary_sectors,global_indices
990,world,KBW Insurance,KBW Insurance,KIX,USD,primary_sectors,global_indices
991,world,KBW Bank,KBW Bank,BKX,USD,primary_sectors,global_indices
992,world,FTSE World,FTSE World,FTWORLDSR,USD,major_indices,global_indices
993,world,FTSE BBC Global 30,FTSE BBC Global 30,FTBBC30,GBP,major_indices,global_indices
994,world,FTSE Asia Pacific,FTSE Asia Pacific,FTAWPACSR,USD,major_indices,global_indices
995,world,MSCI AC Asia Pacific x JP Ener,MSCI AC Asia Pacific x JP Ener,MIPFJEN00PUS,USD,primary_sectors,global_indices
996,world,FTSE All World,FTSE All World,FTAWORLDSR,USD,major_indices,global_indices
997,world,NQ Global,NASDAQ Global,NQGI,USD,major_indices,global_indices
998,world,BNY Mellon International 100 ADR,BNY Mellon International 100 ADR,BKTADR,USD,major_indices,global_indices
999,world,DJ Global,Dow Jones Global,W1DOW,USD,major_indices,global_indices
1000,world,The Global Dow EUR,The Global Dow EUR,GDOWE,EUR,major_indices,global_indices
1001,world,The Global Dow USD,The Global Dow USD,GDOW,USD,major_indices,global_indices
1002,world,MSCI World,MSCI World,MIWO00000PUS,USD,major_indices,global_indices
1003,world,MSCI AC World Equity,MSCI All-Country World Equity Index,MIWD00000PUS,USD,major_indices,global_indices
1004,world,FTSE Global 100,FTSE Global 100,FTMN1XR,USD,major_indices,global_indices
1005,world,S&P Global 100,S&P Global 100,OOI,USD,major_indices,global_indices
1006,world,FTSE4Good Global 100,FTSE4Good Global 100,FT4GDGLOB100,USD,major_indices,global_indices
1007,world,MSCI EM Utilities,MSCI EM Utilities,MIEF0UT00PUS,USD,primary_sectors,global_indices
1008,world,MSCI AC Asia Pacific x JP HC,MSCI AC Asia Pacific x JP HC,MIPFJHC00PUS,USD,primary_sectors,global_indices
1009,world,MSCI AC Asia Pacific x JP Ut,MSCI AC Asia Pacific x JP Ut,MIPFJUT00PUS,USD,primary_sectors,global_indices
1010,world,MSCI EM Industrials,MSCI EM Industrials,MIEF0IN00PUS,USD,primary_sectors,global_indices
1011,world,MSCI EM Health Care,MSCI EM Health Care,MIEF0HC00PUS,USD,primary_sectors,global_indices
1012,world,MSCI EM Financials,MSCI EM Financials,MIEF0FN00PUS,USD,primary_sectors,global_indices
1013,world,MSCI EM Energy,MSCI EM Energy,MIEF0EN00PUS,USD,primary_sectors,global_indices
1014,world,MSCI EAFE Utilities,MSCI EAFE Utilities,MIEA0UT00PUS,USD,primary_sectors,global_indices
1015,world,MSCI EAFE Telecom,MSCI EAFE Telecom,MIEA0TC00PUS,USD,primary_sectors,global_indices
1016,world,MSCI EAFE Industrials,MSCI EAFE Industrials,MIEA0IN00PUS,USD,primary_sectors,global_indices
1017,world,MSCI EAFE Health Care,MSCI EAFE Health Care,MIEA0HC00PUS,USD,primary_sectors,global_indices
1018,world,MSCI EAFE Financials,MSCI EAFE Financials,MIEA0FN00PUS,USD,primary_sectors,global_indices
1019,world,MSCI AC Asia Pacific x JP Fin,MSCI AC Asia Pacific x JP Fin,MIPFJFN00PUS,USD,primary_sectors,global_indices
